---
---
doors,doors_to_open,stick_wins,switch_wins
3,1,3306,6694
4,1,2525,3766
4,2,2496,7504
5,1,2021,2721
5,2,2043,3932
5,3,2001,7999
6,1,1700,2070
6,2,1618,2719
6,3,1675,4201
6,4,1610,8390
7,1,1424,1740
7,2,1401,2133
7,3,1415,2931
7,4,1459,4307
7,5,1497,8503
8,1,1269,1396
8,2,1243,1732
8,3,1236,2156
8,4,1275,2901
8,5,1215,4374
8,6,1253,8747
9,1,1084,1245
9,2,1084,1551
9,3,1075,1813
9,4,1133,2246
9,5,1092,2911
9,6,1100,4463
9,7,1140,8860
10,1,1049,1124
10,2,988,1262
10,3,994,1461
10,4,963,1790
10,5,975,2283
10,6,1034,3038
10,7,1009,4492
10,8,989,9011
11,1,877,1014
11,2,919,1119
11,3,886,1359
11,4,943,1487
11,5,888,1852
11,6,885,2295
11,7,927,2997
11,8,899,4561
11,9,953,9047
12,1,823,964
12,2,841,1055
12,3,860,1111
12,4,883,1325
12,5,831,1535
12,6,814,1905
12,7,822,2306
12,8,818,3113
12,9,863,4495
12,10,865,9135
13,1,735,862
13,2,779,939
13,3,780,1040
13,4,746,1155
13,5,713,1300
13,6,750,1483
13,7,783,1858
13,8,781,2366
13,9,781,3025
13,10,756,4628
13,11,756,9244
14,1,706,778
14,2,674,836
14,3,700,940
14,4,749,1021
14,5,692,1128
14,6,718,1359
14,7,733,1552
14,8,721,1834
14,9,695,2371
14,10,712,3118
14,11,736,4664
14,12,735,9265
15,1,675,710
15,2,642,805
15,3,680,821
15,4,664,939
15,5,662,1044
15,6,646,1141
15,7,709,1274
15,8,697,1532
15,9,699,1903
15,10,688,2358
15,11,684,3106
15,12,690,4692
15,13,677,9323
16,1,601,667
16,2,627,689
16,3,643,783
16,4,605,864
16,5,606,929
16,6,615,1088
16,7,631,1170
16,8,654,1391
16,9,590,1666
16,10,606,1867
16,11,644,2281
16,12,665,3188
16,13,599,4773
16,14,605,9395
17,1,585,609
17,2,605,655
17,3,615,741
17,4,588,779
17,5,570,834
17,6,596,893
17,7,621,978
17,8,622,1148
17,9,600,1366
17,10,627,1541
17,11,580,1907
17,12,567,2407
17,13,596,3149
17,14,578,4785
17,15,616,9384
18,1,553,594
18,2,570,626
18,3,554,662
18,4,586,701
18,5,589,775
18,6,605,841
18,7,521,955
18,8,520,1069
18,9,585,1185
18,10,562,1278
18,11,515,1584
18,12,579,1883
18,13,532,2256
18,14,563,3121
18,15,561,4801
18,16,523,9477
19,1,510,507
19,2,515,576
19,3,511,656
19,4,550,716
19,5,493,726
19,6,502,766
19,7,536,930
19,8,515,959
19,9,507,1028
19,10,487,1210
19,11,514,1368
19,12,523,1611
